RF = 7 / 915 MHz / 256 bytes,社長家（八木）--> 望高寮（鞭型）,,,,,,平均,,
,No. 1,No. 2,No. 3,No. 4,No. 5,No. 6,,極化：30,極化：45
丟包率(%),,,,,,,,,
SNR,,,,,,,,,
RSSI,,,,,,,,,
RF = 7 / 915 MHz / 256 bytes,社長家（八木）<-- 望高寮（鞭型）,,,,,,平均,,
,No. 1,No. 2,No. 3,No. 4,No. 5,No. 6,,極化：30,極化：45
丟包率(%),,,,,,,,,
SNR,,,,,,,,,
RSSI,,,,,,,,,
RF = 7 / 433 MHz / 256 bytes,社長家（八木）--> 望高寮（鞭型）,,,,,,平均,,
,No. 1,No. 2,No. 3,No. 4,No. 5,No. 6,,極化：30,極化：45
丟包率(%),,,,,,,,,
SNR,,,,,,,,,
RSSI,,,,,,,,,
RF = 7 / 433 MHz / 256 bytes,社長家（八木）<-- 望高寮（鞭型）,,,,,,平均,,
,No. 1,No. 2,No. 3,No. 4,No. 5,No. 6,,極化：30,極化：45
丟包率(%),,,,,,,,,
SNR,,,,,,,,,
RSSI,,,,,,,,,